id,sku,name,brand_name,price,discount,discount_rate,rating_average,review_count,order_count,favourite_count,productset_id,seller,inventory,stock_item,seller_product_id,quantity_sold,original_price,shippable,availability,primary_category_path,product_reco_score,seller_id,thumbnail_url
252073070,2965707582847,Điện thoại Vivo Y16 (4G/64G) - Hàng chính hãng,Vivo,3527000,472000,12,0,0,0,0,2647,,,,252073074,1.0,3999000,True,1,1/2/1789/1795,0,325466,https://salt.tikicdn.com/cache/280x280/ts/product/b2/2d/53/ef8444a73e58c0559150cdec15912278.jpg
230008424,7524181952430,Điện thoại Samsung Galaxy S23 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,20665000,2826000,12,0,0,0,0,2647,,,,249347608,,23491000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/e2/72/ba/c42699465e97b77f97184b2e8d6509c0.jpg
262387152,9714999736727,Điện thoại Samsung Galaxy S20 FE 8/256GB - Hàng chính hãng,Samsung,7690000,2800000,27,0,0,0,0,2647,,,,262387156,,10490000,True,1,1/2/1789/1795,0,150440,https://salt.tikicdn.com/cache/280x280/ts/product/79/d3/08/305b3f911d2b27fdad8a11c700a5d3f7.jpg
219392186,1765159729262,Điện thoại OPPO CPH2471 - A17k Vàng - Hàng Chính Hãng (chỉ giao HN và một số khu vực),OPPO,3276000,0,0,0,0,0,0,2647,,,,253384860,,3276000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/e8/39/20/46ebe2e5152e9b80fcc08f52cf886bf9.jpg
92680849,9589614791381,Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,15490000,0,0,5,9,0,0,2647,,,,109402037,18.0,15490000,True,1,1/2/1789/1795,0,10016,https://salt.tikicdn.com/cache/280x280/ts/product/53/38/00/e91ac33673eb0994aeeaa119fae7c005.png
112821872,4200493817419,Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,Xiaomi,2508000,0,0,0,0,0,0,2647,,,,250538752,,2508000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/a8/30/34/945a07755ee1b8b8710bf8177fe76ad5.jpg
164444757,7279203379536,Điện thoại OPPO A55 4GB/64GB Đen- Hàng Chính Hãng,OPPO,3912000,0,0,0,0,0,0,2647,,,,253399692,,3912000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/b0/bf/f6/b4acb4415f81253a0a3a47a3271d085e.jpg
193769065,3441289817043,Điện thoại OPPO A76 (6GB/28GB) - Hàng chính hãng,OPPO,5436000,0,0,0,0,0,0,2647,,,,253399627,,5436000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/b2/1c/fb/65aaba93b441de32dfb663d420db1e48.jpg
251275686,1803441275880,Điện thoại OPPO A57 4GB/128GB Vàng - Hàng chính hãng,OPPO,4632000,0,0,0,0,0,0,2647,,,,253385495,,4632000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/f7/0c/66/fd9d13c7e65d6188152532291be38a80.jpg
166034912,2534452488074,Điện Thoại Oppo A16 (3GB/32G) - Hàng Chính Hãng,OPPO,3192000,0,0,0,0,0,0,2647,,,,253399138,,3192000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/a8/58/59/01d76f7af48ad9ebd6b0415df1b1643f.jpg
